ISO3,date,price
DEU,2023-10-01,77.27
GBR,2023-10-01,87.54
DEU,2023-10-02,116.45
GBR,2023-10-02,110.23
DEU,2023-10-03,21.52
GBR,2023-10-03,69.51
DEU,2023-10-04,72.72
GBR,2023-10-04,74.03
DEU,2023-10-05,100.41
GBR,2023-10-05,85.68
DEU,2023-10-06,68.77
GBR,2023-10-06,68.99
DEU,2023-10-07,49.66
GBR,2023-10-07,60.38
DEU,2023-10-08,89.77
GBR,2023-10-08,93.16
DEU,2023-10-09,107.18
GBR,2023-10-09,112.99
DEU,2023-10-10,108.09
GBR,2023-10-10,94.7
DEU,2023-10-11,62.53
GBR,2023-10-11,86.01
DEU,2023-10-12,126.95
GBR,2023-10-12,128.67
DEU,2023-10-13,58.0
GBR,2023-10-13,84.77
DEU,2023-10-14,27.43
GBR,2023-10-14,43.64
DEU,2023-10-15,46.37
GBR,2023-10-15,93.0
DEU,2023-10-16,137.1
GBR,2023-10-16,152.24
DEU,2023-10-17,130.54
GBR,2023-10-17,125.58
DEU,2023-10-18,93.56
GBR,2023-10-18,70.59
DEU,2023-10-19,94.59
GBR,2023-10-19,87.26
DEU,2023-10-20,80.39
GBR,2023-10-20,83.64
DEU,2023-10-21,52.96
GBR,2023-10-21,92.53
DEU,2023-10-22,58.26
GBR,2023-10-22,104.78
DEU,2023-10-23,123.56
GBR,2023-10-23,124.15
DEU,2023-10-24,118.17
GBR,2023-10-24,119.22
DEU,2023-10-25,123.73
GBR,2023-10-25,129.06
DEU,2023-10-26,124.28
GBR,2023-10-26,126.26
DEU,2023-10-27,118.76
GBR,2023-10-27,119.64
DEU,2023-10-28,77.22
GBR,2023-10-28,83.03
DEU,2023-10-29,26.95
GBR,2023-10-29,26.74
GBR,2023-10-29,53.41
DEU,2023-10-30,103.06
GBR,2023-10-30,110.2
DEU,2023-10-31,103.73
GBR,2023-10-31,122.82
DEU,2023-11-01,60.57
GBR,2023-11-01,87.98
DEU,2023-11-02,58.29
GBR,2023-11-02,77.72
DEU,2023-11-03,62.02
GBR,2023-11-03,80.75
DEU,2023-11-04,24.95
GBR,2023-11-04,108.06
DEU,2023-11-05,24.71
GBR,2023-11-05,107.07
DEU,2023-11-06,68.28
GBR,2023-11-06,107.65
DEU,2023-11-07,97.15
