instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
9,12,17915662.218421713,6003036.0,11912626.218421707,191132.5,5811903.5,11910542.78318706,1005.7963201748793,1077.6389144730845,26.651999950408936,8.29399639105129e-05,SOV|3:1,CTV|3|Jan:1,8;36;58;60;87;89;96;101;122;146;155;159,bc278e7235743ec2,400,1-200,201-300,1
10,1,16617754.038496751,6003036.0,10614718.03849675,191132.5,5811903.5,10611916.177319119,1724.2222631569362,1077.6389144730852,0.997999906539917,0.0,SOV|3:1,CTV|3|Jan:1,153,bc278e7235743ec2,400,1-200,201-300,1
10,3,14863999.786148086,6003036.0,8860963.786148086,191132.5,5811903.5,8858736.665724847,1149.4815087712907,1077.6389144730852,4.267999887466431,1.7543751657972205e-15,SOV|3:1,CTV|3|Jan:1,87;145;153,bc278e7235743ec2,400,1-200,201-300,1
10,5,17580496.112801943,6003036.0,11577460.11280194,191132.5,5811903.5,11575347.940529574,1034.5333578941618,1077.6389144730852,10.17300009727478,4.9687583793367523e-05,SOV|3:1,CTV|3|Jan:1,78;87;145;153;178,bc278e7235743ec2,400,1-200,201-300,1
10,7,16894066.70569392,6003036.0,10891030.705693915,191132.5,5811903.5,10889090.955647869,862.111131578468,1077.6389144730852,15.13700008392334,9.341237047863355e-05,SOV|3:1,CTV|3|Jan:1,78;87;145;148;153;174;178,bc278e7235743ec2,400,1-200,201-300,1
10,9,18075498.256510224,6003036.0,12072462.25651021,191132.5,5811903.5,12070426.716338426,957.9012573094088,1077.6389144730854,20.81499981880188,6.518046174366656e-05,SOV|3:1,CTV|3|Jan:1,25;78;87;143;145;148;153;174;178,bc278e7235743ec2,400,1-200,201-300,1
10,12,18282609.80408411,6003036.0,12279573.80408415,191132.5,5811903.5,12277634.054038098,862.111131578468,1077.6389144730845,29.66600012779236,7.188887207437952e-05,SOV|3:1,CTV|3|Jan:1,20;25;54;78;87;95;143;145;148;153;174;178,bc278e7235743ec2,400,1-200,201-300,1
11,1,14233905.94980596,5811903.5,8422002.449805964,0.0,5811903.5,8420924.81089149,0.0,1077.6389144730852,1.1399998664855957,5.288350145496134e-05,SOV|3:1,,90,bc278e7235743ec2,99,1-200,201-300,1
11,3,13810803.104064977,5811903.5,7998899.604064987,0.0,5811903.5,7997821.965150512,0.0,1077.6389144730852,4.016000032424927,5.5224591845986335e-05,SOV|3:1,,90;128;157,bc278e7235743ec2,99,1-200,201-300,1
11,5,15675079.003927052,5811903.5,9863175.503927065,0.0,5811903.5,9862097.865012592,0.0,1077.6389144730852,7.072999954223633,8.06641256216684e-05,SOV|3:1,,86;90;128;142;157,bc278e7235743ec2,99,1-200,201-300,1
11,7,15135393.194643805,5811903.5,9323489.694643773,0.0,5811903.5,9322412.055729307,0.0,1077.6389144730852,11.072999954223633,5.246225746380913e-05,SOV|3:1,,86;90;111;128;142;157;190,bc278e7235743ec2,99,1-200,201-300,1
11,9,15494959.934266236,5811903.5,9683056.434266217,0.0,5811903.5,9681978.795351747,0.0,1077.6389144730854,13.944999933242798,3.9857105410394295e-05,SOV|3:1,,51;86;90;111;128;133;142;157;190,bc278e7235743ec2,99,1-200,201-300,1
11,12,15754761.088622632,5811903.5,9942857.58862266,0.0,5811903.5,9941779.949708179,0.0,1077.6389144730845,20.879000186920166,2.9399886546303364e-05,SOV|3:1,,51;73;86;90;111;120;128;133;142;157;190;196,bc278e7235743ec2,99,1-200,201-300,1
